dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata
e20,English,11,five,point,0,0,0,0,no
e20,English,11,five,ho_gv,0,0,0,0,no
e20,English,11,tp1,reach,0,0,0,0,no
e20,English,11,tp1,point,0,0,0,0,no
e20,English,11,tp1,ho_gv,2,2,0,0,no
e20,English,11,tp2,reach,0,0,0,0,no
e20,English,11,tp2,point,0,0,0,0,no
e20,English,11,tp2,ho_gv,0,0,0,0,no
e20,English,12,five,reach,0,0,0,0,no
e20,English,12,five,point,0,0,0,0,no
e20,English,12,five,ho_gv,0,0,0,0,no
e20,English,12,tp1,reach,0,0,0,0,no
e20,English,12,tp1,point,0,0,0,0,no
e20,English,12,tp1,ho_gv,0,0,0,0,no
e20,English,12,tp2,reach,0,0,0,0,no
e20,English,12,tp2,point,0,0,0,0,no
e20,English,12,tp2,ho_gv,1,1,1,1,no
